player_id,source_name,canonical_name,canonical_name_key,source_position_id,canonical_position
1217,Jonnu Smith,jonnu smith,jonnu smith,8005.0,TE
1218,Jordan Addison,jordan addison,jordan addison,8004.0,WR
1219,Jordan Howard,jordan howard,jordan howard,8003.0,RB
1220,Jordan Love,jordan love,jordan love,8002.0,QB
1221,Jordan Reed,jordan reed,jordan reed,8005.0,TE
1222,Jordan Wilkins,jordan wilkins,jordan wilkins,8003.0,RB
1223,Jordy Nelson,jordy nelson,jordy nelson,8004.0,WR
1224,Josh Allen,josh allen,josh allen,8002.0,QB
1225,Josh Doctson,josh doctson,josh doctson,8004.0,WR
1226,Josh Gordon,josh gordon,josh gordon,8004.0,WR
1227,Josh Jacobs,josh jacobs,josh jacobs,8003.0,RB
1228,Joshua Kelley,joshua kelley,joshua kelley,8003.0,RB
1229,JuJu Smith-Schuster,juju smith-schuster,juju smith-schuster,8004.0,WR
1230,Julian Edelman,julian edelman,julian edelman,8004.0,WR
1231,Julio Jones,julio jones,julio jones,8004.0,WR
1232,Justin Fields,justin fields,justin fields,8002.0,QB
1233,Justin Herbert,justin herbert,justin herbert,8002.0,QB
1234,Justin Jackson,justin jackson,justin jackson,8003.0,RB
1235,Justin Jefferson,justin jefferson,justin jefferson,8004.0,WR
1236,Justin Tucker,justin tucker,justin tucker,8099.0,K
1237,Juwan Johnson,juwan johnson,juwan johnson,8005.0,TE
1238,Ka'imi Fairbairn,kaimi fairbairn,kaimi fairbairn,8099.0,K
1239,Kadarius Toney,kadarius toney,kadarius toney,8004.0,WR
1240,Kalen Ballage,kalen ballage,kalen ballage,8003.0,RB
1241,Chiefs D/ST,chiefs d/st,chiefs d/st,8006.0,DEF
1242,Kareem Hunt,kareem hunt,kareem hunt,8003.0,RB
1243,Keenan Allen,keenan allen,keenan allen,8004.0,WR
1244,Keke Coutee,keke coutee,keke coutee,8004.0,WR
1245,Kelvin Benjamin,kelvin benjamin,kelvin benjamin,8004.0,WR
1246,Kenneth Gainwell,kenneth gainwell,kenneth gainwell,8003.0,RB
1247,Kenneth Walker,kenneth walker,kenneth walker,8003.0,RB
1248,Kenny Golladay,kenny golladay,kenny golladay,8004.0,WR
